OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
150671,K-GEORGE,GEORGE DACCA BRAMLEY PARK,1011 TALLEBUDGERA CREEK ROAD,TALLEBUDGERA VALLEY,39025,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,a8c7c1aa-6fd6-432a-a534-4e8022b9d6a0
150672,K-GERRAL,GERRALE DRIVE RESERVE,GERRALE DRIVE,WILLOW VALE,790,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,37113988-a9d8-408c-922b-0e47aeb391d8
150673,K-BIRD02,BIRDLIFE PARK,54A BIRDLIFE COURT,NERANG,12282,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f31c1e21-f1a6-4376-8041-ec2bf4061961
150674,K-BIRD02,BIRDLIFE PARK,54A BIRDLIFE COURT,NERANG,20278,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,8a7df3e1-844d-44a0-a039-1ab83d65e414
150675,K-GOODIN,GOODING PARK,29 CLELAND CRESCENT,BROADBEACH WATERS,1235,OPEN SPACE PARKS,AMENITY SPACE,GCCC,dc4606ab-fdba-4ff9-922e-9f54afefe51e
150676,K-GORDON,GORDON DRIVE RESERVE,RICHARDSON CRESCENT,UPPER COOMERA,24604,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,081b1e0c-37c7-4453-8d6a-3d4961ad2925
150677,K-SKYBUR,SKYBURNETT RESERVE,SKYBURNETT STREET,REEDY CREEK,17718,OPEN SPACE PARKS,AMENITY SPACE,GCCC,8fbfcc2c-c204-46d0-8e1a-ed57ef2d2466
150678,K-CAVECR,CAVE CREEK PICNIC PARKLANDS,2977 NERANG MURWILLUMBAH ROAD,NATURAL BRIDGE,7781,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,22ccb88d-f8be-4a8f-a040-cbd00a16c91d
150679,K-CAVILL,CAVILL PARK,44 CAVILL AVENUE,SURFERS PARADISE,1140,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,83debd5e-3c76-43b3-afd3-78c6d9ef6ee5
150680,K-CAWTHR,CAWTHRAY STREET RESERVE,CAWTHRAY STREET,BIGGERA WATERS,582,UTILITY RESERVE,UTILITY RESERVE,GCCC,d9640131-69ba-4cd2-9584-5f388a905b59
150681,K-CAST03,CASTLE PARK,15A CASTLEREAGH CLOSE,PACIFIC PINES,402,UTILITY RESERVE,UTILITY RESERVE,GCCC,1959d064-c942-4002-9f89-570c7863670c
150682,K-CAYUGA,CAYUGA PARK,CAYUGA ROAD,NERANG,10203,UTILITY RESERVE,UTILITY RESERVE,GCCC,5f3821ce-79fa-4144-a9e2-758b789fa9f3
150683,K-FRANKC,FRANK CHASTON SPORTING FIELD,WORONGARY ROAD,GILSTON,25746,SPORTS PARKS,LOCAL SPORTS PARK,GCCC,a1e3a7ed-bbad-43ff-81ca-7f88029b34dd
150684,K-FRANQU,FRANQUIN PARK,THE CORSO,SURFERS PARADISE,7141,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,44f0ee56-ca0a-4ddc-9549-1337bdc2c947
150685,K-MORGAN,MORGAN FAMILY PARK,100 BEAUDESERT NERANG ROAD,NERANG,32906,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,6c40e742-c2eb-4add-9d8b-c2e3f1806bf1
150686,K-LOWE03,LOWER GOLDEN VALLEY PARK,9A GOLDEN VALLEY ROAD,TALLEBUDGERA VALLEY,39823,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,371142d7-41d5-4f0b-ae89-a3abe581496e
